CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2023,December,WILLIAMS CORNER WINE,WINE,167757,MAITRE DE CHAI CALIFORNIA RED 750ML,1,Purchase order
2023,December,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,237510,MATTHEW FRITZ CHARD - 750ML,21,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,308272,SAN GIORIO BRUN UGOLFORTE - 750ML,1,Purchase order
2023,December,PREMIUM DISTRIBUTORS OF MARYLAND,KEG,93823,SIERRA NEVADA CELEBRATION 1/2K,4,Purchase order
2023,December,DIONYSOS IMPORTS INC,WINE,326218,LOS MEDANOS CAB ORGANIC - 750ML,1,Purchase order
2023,December,ROYAL WINE CORP,WINE,40633,BEN AMI MER - 750ML,1,Purchase order
2023,December,FX MATT BREWING CO,BEER,97659,KINGFISHER 4/6 NR,144,Purchase order
2023,December,LAPHAM IMPORT COMPANY,WINE,44151,GEKKEIKAN HORIN SAKE - 300ML,1,Purchase order
2023,December,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,37478,GOLAN HEIGHTS MT HERMON WHITE - 750ML,3,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,338406,EVENING LANDING P/NOIR SEVEN SPRINGS - 750ML,3,Purchase order
2023,December,ELITE WINES IMPORTS,WINE,323618,CUNE CRIANZA - 750ML,42,Purchase order
2023,December,BERRYWINE PLANTATIONS,WINE,84905,LINGANORE PEACH - 750ML,15,Purchase order
2023,December,E & J GALLO WINERY,WINE,379047,VIBE- VENDANGE BLUE RASPBERRY LEMONADE - 500ML,148,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,244661,ARROW MENTHE GREEN 1L,2,Purchase order
2023,December,THE WINE GROUP,WINE,80189,CUPCAKE MOSCATO D'ASTI - 750ML,80,Purchase order
2023,December,ANHEUSER BUSCH INC,BEER,31082,MICHELOB ULTRA 3/8 ALNR 16OZ,441,Purchase order
2023,December,MILLER BREWING COMPANY,BEER,95656,MOLSON ICE 12/24OZ CAN - 24OZ,196,Purchase order
2023,December,SAZERAC CO,LIQUOR,28797,CANADIAN MIST WHISKEY - 1.75L,68,Purchase order
2023,December,MILLER BREWING COMPANY,BEER,22931,MILLER LITE WIDEMOUTH ALUM 2/9 NR - 16OZ,490,Purchase order
2023,December,DIONYSOS IMPORTS INC,WINE,379530,DOMAINE DOBOIS ALIGOTE WHITE - 750ML,1,Purchase order
