year,month,vendor,categories,item,description,qty,source_type
2023,December,BANVILLE & JONES WINE MERCHANTS,WINE,238587,CLARA C DI CLARA P/GRIG - 750ML,1,Purchase order
2023,December,DMV DISTRIBUTING LLC,WINE,318633,LES ALLIES S/BLC - 750ML,14,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,322762,BANFI CHN SUP - 750ML,2,Purchase order
2023,December,DC BRAU BREWING LLC,BEER,14434,DC BRAU IPA VARIETY 2/12 CANS,30,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,243550,MCBRIDE SISTERS BLACK GIRL MAGIC BUBBLY RIES - 375ML CN,1,Purchase order
2023,December,EASTERN LIQUOR DISTRIBUTORS INC,LIQUOR,241114,JINRO IS BACK SOJU - 375ML,56,Purchase order
2023,December,THE WINE GROUP,WINE,301202,CUPCAKE RED VELVET - 750ML,42,Purchase order
2023,December,POTOMAC SELECTIONS INC,WINE,169625,PIERRE PAILLARD CHAMPAGNE BOUZY GRAND CRU LES TERRES ROSES ROSE NV 750ML,1,Purchase order
2023,December,RM2 CONSULTING INC,WINE,335418,90+ CELLARS LOT 53 CAB 14 - 750ML,5,Purchase order
2023,December,DIONYSOS IMPORTS INC,WINE,367832,RIBERTINELO MOSCATO KOSHER - 750ML,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",LIQUOR,298530,GIN LANE 1751 VIOLET 750ML,2,Purchase order
2023,December,DIONYSOS IMPORTS INC,WINE,158674,PIERRE ET PAUL DURDILLY BEAUJ - 750ML,1,Purchase order
2023,December,SFB BUCK LLC,LIQUOR,18669,RIGHT COAST VODKA WHIPS VARIETY PACK 3/8 CANS,1,Purchase order
2023,December,PERNOD RICARD USA LLC,WINE,137448,CAMPO VIEJO GRD RES - 750ML,12,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,297643,BROCHARD SANCERRE TRADITION 750ML,2,Purchase order
2023,December,INTERBALT PRODUCTS CORP,WINE,355956,DAKOVACKA GRASEVINA - 750ML,1,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,357804,A TO Z OREGON P/NOIR - 750ML,49,Purchase order
2023,December,ROYAL WINE CORP,WINE,355728,BARTENURA MOSCATO CAN - 250ML,21,Purchase order
2023,December,CHESAPEAKE DISTRIBUTING LLC,KEG,298574,AUSTIN CHERRY LIME  1/6 KEG,1,Purchase order
2023,December,CONSTANTINE WINES INC,BEER,64541,COEDO KYARA INDIA PALE ALE 24/11.2OZ NR,1,Purchase order
